date,totalNearmiss,totalVehicleNearCol,totalJW,is_holiday
2024-05-28,0,0,0,0
2024-05-29,0,0,0,0
2024-05-30,0,0,2,0
2024-05-31,0,1,3,0
2024-06-01,0,0,0,1
2024-06-02,0,0,0,1
2024-06-03,0,0,0,0
2024-06-04,0,0,0,0
2024-06-05,0,0,1,0
2024-06-06,0,0,3,0
2024-06-07,0,0,1,0
2024-06-08,0,0,0,1
2024-06-09,0,0,0,1
2024-06-10,0,0,0,1
2024-06-11,0,1,0,0
2024-06-12,0,0,0,0
2024-06-13,0,0,0,0
2024-06-14,0,0,2,0
2024-06-15,0,0,0,1
2024-06-16,0,0,0,1
2024-06-17,0,0,0,0
2024-06-18,0,0,2,0
2024-06-19,0,0,0,0
2024-06-20,0,0,1,0
2024-06-21,0,0,0,0
2024-06-22,0,0,0,1
2024-06-23,0,0,0,1
2024-06-24,0,0,3,0
2024-06-25,0,0,2,0
2024-06-26,0,4,3,0
2024-06-27,0,6,1,0
2024-06-28,0,5,4,0
2024-06-29,0,0,0,1
2024-06-30,0,0,0,1
2024-07-01,0,0,0,1
2024-07-02,0,0,0,1
2024-07-03,0,0,0,1
2024-07-04,0,0,0,1
2024-07-05,0,0,0,1
2024-07-06,0,0,0,1
2024-07-07,0,0,0,1
2024-07-08,0,0,0,1
2024-07-09,0,0,0,1
2024-07-10,0,0,0,1
2024-07-11,0,0,0,1
2024-07-12,0,0,0,1
2024-07-13,0,0,0,1
2024-07-14,0,0,0,1
2024-07-15,0,6,5,0
2024-07-16,0,4,1,0
2024-07-17,0,6,0,0
2024-07-18,0,3,2,0
2024-07-19,0,6,7,0
2024-07-20,0,0,0,1
2024-07-21,0,0,0,1
2024-07-22,0,4,0,0
2024-07-23,0,3,3,0
2024-07-24,0,4,3,0
2024-07-25,0,5,1,0
2024-07-26,1,3,3,0
2024-07-27,0,0,0,1
2024-07-28,0,0,0,1
2024-07-29,0,0,0,0
2024-07-30,0,3,1,0
2024-07-31,0,2,6,0
2024-08-01,0,2,9,0
2024-08-02,1,3,8,0
2024-08-03,0,0,0,1
2024-08-04,0,0,0,1
2024-08-05,0,3,5,0
2024-08-06,0,0,0,0
2024-08-07,0,3,5,0
2024-08-08,0,4,10,0
2024-08-09,0,3,0,0
2024-08-10,0,0,0,0
2024-08-11,0,0,0,0
2024-08-12,0,5,0,0
